SKU,ID fila,ID Orden,Fecha Orden,Prioridad,Cantidad,Precio,Descuento,Tipo de Env¡o,Ganancia,Precio por Unidad,Costo de Env¡o,Nombre del Cliente,ID Provincia,Segmento del Cliente,Fecha de env¡o,,,,
382,4031,28774,01/01/2009,Alto,32, $5.64 ,0.1,Aereo Regular,-111.8,5.98,4.69,Jessica Myrick,1,PYME,02/01/2009,,,,
1047,1914,13729,01/01/2009,No Especificado,9, $96.94 ,0.08,Aereo Express,-342.91,95.99,35,Matt Collister,2,Oficina en Hogar,03/01/2009,,,,
252,5272,37537,02/01/2009,Bajo,4, $309.77 ,0,Terrestre,-193.08,291.73,48.8,Alan Schoenberger,3,Corporativo,02/01/2009,,,,
1071,5273,37537,02/01/2009,Bajo,43, $94.96 ,0.07,Terrestre,-1049.85,100.98,45,Alan Schoenberger,3,Corporativo,04/01/2009,,,,
379,5274,37537,02/01/2009,Bajo,32, $153.20 ,0.05,Aereo Regular,1438.49,155.06,7.07,Alan Schoenberger,3,Corporativo,09/01/2009,,,,
329,1279,9285,02/01/2009,Critical,3, $41.60 ,0.06,Aereo Regular,-11.937,40.98,2.99,David Philippe,4,Consumidor,04/01/2009,,,,
1040,6224,44069,02/01/2009,Critical,16, $8.60 ,0.09,Aereo Express,26.71,9.11,2.15,Elizabeth Moffitt,3,Consumidor,04/01/2009,,,,
539,6225,44069,02/01/2009,Critical,43, $14.30 ,0.08,Aereo Regular,247.79,15.04,1.97,Elizabeth Moffitt,3,Consumidor,02/01/2009,,,,
684,1074,7909,03/01/2009,Alto,29, $4.21 ,0.03,Aereo Regular,24.55,4.26,1.2,Alex Russell,5,Oficina en Hogar,04/01/2009,,,,
716,1315,9637,03/01/2009,Bajo,12, $43.54 ,0.08,Aereo Regular,-236.43,43.22,16.71,Andy Reiter,6,Corporativo,05/01/2009,,,,
176,1316,9637,03/01/2009,Bajo,49, $578.76 ,0.05,Aereo Regular,14440.39,574.74,24.49,Andy Reiter,6,Corporativo,10/01/2009,,,,
89,1317,9637,03/01/2009,Bajo,12, $10.31 ,0.04,Aereo Regular,32.44,10.14,2.27,Andy Reiter,6,Corporativo,07/01/2009,,,,
1168,1663,11972,03/01/2009,No Especificado,4, $224.12 ,0,Terrestre,-452.2695,213.45,14.7,Ann Steele,5,Corporativo,05/01/2009,,,,
302,4223,30016,03/01/2009,Critical,15, $5.70 ,0.03,Aereo Regular,-41.58,5.28,5.66,Bill Donatelli,1,Corporativo,05/01/2009,,,,
371,4224,30016,03/01/2009,Critical,8, $94.33 ,0.01,Aereo Regular,-212.553,110.99,2.5,Bill Donatelli,1,Corporativo,06/01/2009,,,,
1150,1336,9762,03/01/2009,Alto,12, $21.90 ,0.05,Aereo Regular,-146.05,20.98,21.2,Larry Tron,5,Oficina en Hogar,04/01/2009,,,,
839,5704,40354,03/01/2009,Alto,29, $5.95 ,0.03,Aereo Regular,12.5545,5.58,2.99,Patrick Jones,7,Oficina en Hogar,04/01/2009,,,,
770,5705,40354,03/01/2009,Alto,4, $174.50 ,0.09,Terrestre,-93.16,212.6,52.2,Patrick Jones,7,Oficina en Hogar,04/01/2009,,,,
1034,6953,49730,04/01/2009,Alto,3, $346.52 ,0.06,Terrestre,-394.69,350.98,30,Dave Hallsten,1,Oficina en Hogar,05/01/2009,,,,
287,1193,8710,04/01/2009,Critical,17, $3.73 ,0.03,Aereo Regular,-76.015,3.36,6.27,Tamara Dahlen,1,Corporativo,05/01/2009,,,,
894,1194,8710,04/01/2009,Critical,42, $3.60 ,0.07,Aereo Express,8.33,3.71,1.93,Tamara Dahlen,1,Corporativo,06/01/2009,,,,
207,8011,57253,05/01/2009,Critical,43, $1.82 ,0.08,Aereo Regular,1.74,1.81,0.75,Darren Budd,1,Consumidor,06/01/2009,,,,
146,8012,57253,05/01/2009,Critical,29, $22.54 ,0.06,Terrestre,-1358.9,20.98,53.03,Darren Budd,1,Consumidor,07/01/2009,,,,
222,8013,57253,05/01/2009,Critical,48, $263.24 ,0.07,Aereo Regular,-335.24,279.48,35,Darren Budd,1,Consumidor,05/01/2009,,,,
1042,8014,57253,05/01/2009,Critical,49, $4.90 ,0.08,Aereo Regular,-139.15575,4.91,5.68,Darren Budd,1,Consumidor,06/01/2009,,,,
825,8015,57253,05/01/2009,Critical,25, $110.00 ,0.04,Aereo Regular,667.449,125.99,5.26,Darren Budd,1,Consumidor,05/01/2009,,,,
250,47,290,05/01/2009,No Especificado,24, $7.86 ,0.05,Aereo Regular,-32.48,7.64,5.83,Dorris Love,2,Oficina en Hogar,06/01/2009,,,,
131,4555,32418,05/01/2009,No Especificado,5, $248.84 ,0.08,Terrestre,-131.31,243.98,43.32,Marina Lichtenstein,3,Corporativo,06/01/2009,,,,
398,164,1028,05/01/2009,Alto,6, $27.63 ,0.03,Aereo Regular,-28.46,28.48,1.99,Matt Collins,3,Consumidor,06/01/2009,,,,
560,165,1028,05/01/2009,Alto,11, $183.74 ,0.01,Aereo Regular,-60.39,205.99,5.99,Matt Collins,3,Consumidor,07/01/2009,,,,
105,3981,28451,05/01/2009,Critical,21, $200.05 ,0.01,Aereo Regular,1162.76,194.3,11.54,Pauline Chand,1,PYME,07/01/2009,,,,
932,3982,28451,05/01/2009,Critical,41, $218.50 ,0.02,Aereo Regular,2593.14,209.84,21.21,Pauline Chand,1,PYME,06/01/2009,,,,
128,3983,28451,05/01/2009,Critical,33, $148.90 ,0,Terrestre,1054.93,145.45,17.85,Pauline Chand,1,PYME,07/01/2009,,,,
38,8291,59232,05/01/2009,Alto,23, $31.54 ,0,Aereo Regular,245.97,30.98,5.76,Robert Waldorf,6,Oficina en Hogar,07/01/2009,,,,
365,7352,52386,05/01/2009,Alto,6, $116.79 ,0.08,Terrestre,-188.5812,120.97,26.3,Susan Vittorini,8,Oficina en Hogar,07/01/2009,,,,
382,3588,25601,05/01/2009,Medio,43, $5.99 ,0.09,Aereo Regular,-131.08,5.98,4.69,Valerie Dominguez,9,Corporativo,06/01/2009,,,,
554,6773,48226,06/01/2009,Bajo,23, $102.50 ,0.02,Terrestre,-108.8,100.98,35.84,Corey Roper,10,PYME,06/01/2009,,,,
571,2001,14274,06/01/2009,No Especificado,23, $159.74 ,0.01,Terrestre,112.44,150.98,30,Craig Leslie,6,Consumidor,08/01/2009,,,,
159,2002,14274,06/01/2009,No Especificado,46, $30.74 ,0.01,Aereo Express,-40.72,28.28,13.99,Craig Leslie,6,Consumidor,08/01/2009,,,,
838,2003,14274,06/01/2009,No Especificado,2, $30.86 ,0.03,Aereo Regular,-164.043,35.99,1.1,Craig Leslie,6,Consumidor,07/01/2009,,,,
432,3283,23488,06/01/2009,Alto,29, $3.51 ,0.03,Aereo Regular,-73.19,3.28,3.97,Julia Barnett,11,Oficina en Hogar,08/01/2009,,,,
186,3284,23488,06/01/2009,Critical,30, $871.11 ,0.04,Terrestre,-11053.6,880.98,44.55,Julia Oeste,8,Oficina en Hogar,07/01/2009,,,,
650,5794,41094,06/01/2009,Bajo,46, $6.50 ,0.09,Aereo Regular,-225.86,6.48,8.73,Maribeth Schnelling,7,Corporativo,08/01/2009,,,,
543,5795,41094,06/01/2009,Bajo,6, $26.51 ,0.05,Aereo Regular,-153.46,20.34,35,Maribeth Schnelling,7,Corporativo,10/01/2009,,,,
1169,2325,16770,06/01/2009,Critical,17, $2.18 ,0.03,Aereo Regular,0.61,2.1,0.7,Muhammed Yedwab,7,Consumidor,07/01/2009,,,,
738,2350,16961,06/01/2009,No Especificado,27, $1.74 ,0.06,Aereo Regular,-37.08,1.7,1.99,Tracy Collins,7,Consumidor,07/01/2009,,,,
1163,2351,16961,06/01/2009,No Especificado,34, $32.05 ,0.01,Aereo Regular,433.24,30.98,5.09,Tracy Collins,7,Consumidor,08/01/2009,,,,
675,947,6854,06/01/2009,Medio,1, $22.13 ,0.07,Aereo Express,-2.392,7.68,6.16,Victor Price,9,Consumidor,08/01/2009,,,,
6,948,6854,06/01/2009,Medio,19, $6.83 ,0.05,Aereo Express,2.39,6.64,4.95,Victor Price,9,Consumidor,08/01/2009,,,,
424,4778,33923,07/01/2009,Bajo,34, $57.70 ,0.05,Aereo Regular,425.754,65.99,5.99,Benjamin Venier,3,PYME,11/01/2009,,,,
23,6199,43909,07/01/2009,Alto,46, $16.03 ,0.08,Aereo Regular,-199.134,15.99,13.18,Chloris Kastensmidt,5,Consumidor,08/01/2009,,,,
353,2538,18405,07/01/2009,Medio,30, $20.36 ,0.09,Aereo Express,60.2735,20.98,8.83,George Ashbrook,1,Consumidor,09/01/2009,,,,
645,2539,18405,07/01/2009,Medio,2, $79.02 ,0.03,Aereo Regular,-263.09,73.98,14.52,George Ashbrook,1,Consumidor,10/01/2009,,,,
1158,450,3073,07/01/2009,Medio,3, $3.53 ,0.05,Aereo Regular,-11.5805,1.98,4.77,Jasper Cacioppo,2,Oficina en Hogar,08/01/2009,,,,
288,451,3073,07/01/2009,Medio,3, $706.56 ,0.07,Aereo Express,-2314.74,699.99,24.49,Jasper Cacioppo,2,Oficina en Hogar,08/01/2009,,,,
1159,452,3073,07/01/2009,Medio,7," $6,560.54 ",0.07,Aereo Regular,102.61,6783.02,24.49,Jasper Cacioppo,2,Oficina en Hogar,08/01/2009,,,,
265,5733,40704,07/01/2009,Bajo,6, $1.93 ,0.01,Aereo Regular,-2.06,1.76,0.7,Julie Kriz,4,Corporativo,12/01/2009,,,,
424,4540,32295,07/01/2009,Alto,11, $55.24 ,0.07,Aereo Regular,-112.244,65.99,5.99,Pauline Chand,1,PYME,08/01/2009,,,,
720,4234,30083,08/01/2009,No Especificado,23, $14.10 ,0.07,Aereo Regular,20.43,14.56,3.5,Luke Schmidt,6,Oficina en Hogar,09/01/2009,,,,
320,998,7203,08/01/2009,Alto,25, $870.08 ,0.03,Aereo Regular,9296.348,896.99,19.99,Ruben Dartt,5,Corporativo,10/01/2009,,,,
370,611,4193,08/01/2009,Alto,16, $4.02 ,0.07,Aereo Regular,14.42,4.13,0.99,Sandra Flanagan,1,Oficina en Hogar,08/01/2009,,,,
201,612,4193,08/01/2009,Alto,3, $25.26 ,0.03,Aereo Regular,64.25,22.72,8.99,Sandra Flanagan,1,Oficina en Hogar,08/01/2009,,,,
719,6627,47138,09/01/2009,Bajo,1, $107.95 ,0.04,Aereo Regular,-506.308,125.99,8.99,Benjamin Patterson,1,Corporativo,16/01/2009,,,,
375,1173,8576,09/01/2009,Alto,43, $12.59 ,0,Aereo Express,-164.25,11.66,8.99,Cynthia Voltz,11,Corporativo,11/01/2009,,,,
927,2571,18561,09/01/2009,No Especificado,9, $5.10 ,0.02,Aereo Regular,-38.9,4.13,6.89,Joni Blumstein,1,Oficina en Hogar,10/01/2009,,,,
959,4449,31715,09/01/2009,No Especificado,24, $2.67 ,0.09,Aereo Regular,-4.09,2.78,0.97,Mark Haberlin,4,PYME,11/01/2009,,,,
1134,4450,31715,09/01/2009,No Especificado,11, $6.23 ,0.01,Aereo Regular,-53.8545,5.38,7.57,Mark Haberlin,3,PYME,10/01/2009,,,,
434,4451,31715,09/01/2009,No Especificado,44, $3.30 ,0.05,Aereo Regular,-116.87,3.28,3.97,Mark Haberlin,3,PYME,09/01/2009,,,,
271,5666,40097,09/01/2009,Bajo,47, $2.51 ,0.1,Aereo Regular,-71,2.6,2.4,Olvera Toch,1,Oficina en Hogar,14/01/2009,,,,
342,8161,58343,09/01/2009,No Especificado,39, $3.12 ,0.07,Aereo Regular,11.32,3.29,1.35,Yana Sorensen,2,Corporativo,11/01/2009,,,,
1122,6273,44391,10/01/2009,No Especificado,16, $7.05 ,0.02,Aereo Regular,-85.23,6.48,9.17,Ann Steele,5,Corporativo,11/01/2009,,,,
967,2045,14596,10/01/2009,Critical,24, $8.30 ,0.01,Aereo Regular,73.33,8.34,0.96,Darren Powers,1,Corporativo,12/01/2009,,,,
434,2046,14596,10/01/2009,Critical,19, $3.32 ,0.06,Aereo Regular,-53.75,3.28,3.97,Darren Powers,1,Corporativo,11/01/2009,,,,
1090,4073,28999,10/01/2009,Alto,34, $34.63 ,0.02,Aereo Regular,420.05,33.98,1.99,Giulietta Dortch,1,Corporativo,11/01/2009,,,,
775,7731,55367,10/01/2009,Critical,31, $68.94 ,0.05,Terrestre,-686.01,70.98,46.74,Kristina Nunn,4,Consumidor,11/01/2009,,,,
776,7732,55367,10/01/2009,Critical,48, $11.90 ,0.05,Aereo Regular,129.87,11.55,2.36,Kristina Nunn,4,Consumidor,12/01/2009,,,,
253,3964,28290,10/01/2009,Bajo,43, $30.40 ,0.05,Aereo Express,-154.24,30.42,8.65,Maria Bertelson,1,Oficina en Hogar,14/01/2009,,,,
536,3965,28290,10/01/2009,Bajo,3, $174.53 ,0.01,Aereo Express,-179.36,161.55,19.99,Maria Bertelson,1,Oficina en Hogar,12/01/2009,,,,
465,2775,20037,10/01/2009,Bajo,35, $28.84 ,0.02,Aereo Regular,339.58,29.18,8.55,Michelle Moray,6,Corporativo,15/01/2009,,,,
593,2776,20037,10/01/2009,Bajo,49, $308.92 ,0.03,Terrestre,4913.16,297.64,14.7,Michelle Moray,6,Corporativo,15/01/2009,,,,
240,4787,33988,10/01/2009,Medio,30, $5.49 ,0,Aereo Regular,-128.47,5.02,5.14,Rob Haberlin,1,Consumidor,11/01/2009,,,,
327,4425,31553,10/01/2009,Critical,32, $153.34 ,0.09,Aereo Regular,1907.94,162.93,19.99,Sean Wendt,3,Corporativo,12/01/2009,,,,
168,2726,19655,11/01/2009,Alto,31, $36.89 ,0.06,Aereo Regular,304.42,39.24,1.99,Alan Barnes,8,Corporativo,12/01/2009,,,,
811,3040,21830,11/01/2009,Bajo,19, $367.98 ,0.08,Terrestre,906.8,399.98,12.06,Andy Gerbode,6,Consumidor,18/01/2009,,,,
593,4754,33797,11/01/2009,No Especificado,20, $226.57 ,0.08,Terrestre,653.68,297.64,14.7,Bradley Drucker,4,PYME,11/01/2009,,,,
866,4755,33797,11/01/2009,No Especificado,44, $13.06 ,0.02,Aereo Regular,-449.04,12.99,14.37,Bradley Drucker,4,PYME,12/01/2009,,,,
801,4756,33797,11/01/2009,No Especificado,18, $14.61 ,0.06,Aereo Regular,-22.37,14.42,6.75,Bradley Drucker,4,PYME,12/01/2009,,,,
399,4757,33797,11/01/2009,No Especificado,29, $4.76 ,0.05,Aereo Express,-103.78,4.14,6.6,Bradley Drucker,2,PYME,13/01/2009,,,,
120,4758,33797,11/01/2009,No Especificado,18, $12.05 ,0.03,Aereo Regular,30.53,11.34,5.01,Bradley Drucker,2,PYME,11/01/2009,,,,
425,2855,20549,12/01/2009,No Especificado,40, $25.75 ,0.09,Aereo Regular,-568.71,27.75,19.99,Cindy Schnelling,6,Corporativo,13/01/2009,,,,
1126,1024,7461,12/01/2009,Bajo,12, $340.03 ,0.05,Terrestre,593.79,350.99,39,Greg Matthias,3,Oficina en Hogar,14/01/2009,,,,
430,1025,7461,12/01/2009,Bajo,28, $9.31 ,0,Aereo Regular,111.4,8.74,1.39,Greg Matthias,3,Oficina en Hogar,16/01/2009,,,,
856,1026,7461,12/01/2009,Bajo,44, $2.05 ,0.02,Aereo Regular,-16.72,1.98,0.7,Greg Matthias,3,Oficina en Hogar,16/01/2009,,,,
326,5327,37862,12/01/2009,No Especificado,27, $59.38 ,0.01,Aereo Regular,452.49,59.98,3.99,Guy Thornton,1,Corporativo,15/01/2009,,,,
860,3901,27813,12/01/2009,Medio,10, $40.11 ,0.1,Aereo Regular,-131.03,40.98,6.5,Liz Price,6,Consumidor,14/01/2009,,,,
1034,6122,43362,12/01/2009,Critical,45, $354.74 ,0.03,Terrestre,4276.73,350.98,30,Rick Reed,2,Consumidor,15/01/2009,,,,
1074,6123,43362,12/01/2009,Critical,33, $1.77 ,0.04,Aereo Regular,2.72,1.68,1,Rick Reed,2,Consumidor,14/01/2009,,,,
128,1894,13602,13/01/2009,Bajo,3, $148.45 ,0.03,Terrestre,-377.9019,145.45,17.85,Brian Stugart,11,Corporativo,18/01/2009,,,,
791,1895,13602,13/01/2009,Bajo,13, $50.85 ,0.02,Aereo Regular,267.67,48.04,5.09,Brian Stugart,11,Corporativo,13/01/2009,,,,
110,7241,51623,13/01/2009,Critical,17, $2.31 ,0.06,Aereo Regular,-66.58,2.08,5.33,Michelle Huthwaite,2,Oficina en Hogar,13/01/2009,,,,
729,3582,25541,13/01/2009,Bajo,50, $5.96 ,0.07,Aereo Regular,-111.34,5.98,5.79,Mike Gockenbach,9,Consumidor,15/01/2009,,,,
1023,4875,34691,14/01/2009,Critical,27, $8.06 ,0.08,Aereo Regular,-168.75,7.77,9.23,Clytie Kelty,1,PYME,16/01/2009,,,,
841,4876,34691,14/01/2009,Critical,23, $313.17 ,0.02,Terrestre,1425.11,306.14,26.53,Clytie Kelty,1,PYME,14/01/2009,,,,
442,4877,34691,14/01/2009,Critical,13, $18.91 ,0.1,Aereo Express,-7.39,18.97,9.54,Clytie Kelty,1,PYME,16/01/2009,,,,
360,1144,8325,14/01/2009,Critical,21, $112.59 ,0.08,Terrestre,-220.0491,115.99,56.14,Jennifer Patt,11,Oficina en Hogar,16/01/2009,,,,
409,1145,8325,14/01/2009,Critical,27, $4.17 ,0.08,Aereo Regular,13.92,4.28,0.94,Jennifer Patt,11,Oficina en Hogar,17/01/2009,,,,
222,6200,43911,14/01/2009,Medio,29, $19.93 ,0.06,Aereo Regular,-53.89,19.99,11.17,Tamara Manning,5,Corporativo,14/01/2009,,,,
918,6201,43911,14/01/2009,Medio,36, $275.58 ,0,Terrestre,2685.19,264.98,17.86,Tamara Manning,5,Corporativo,15/01/2009,,,,
82,6202,43911,14/01/2009,Medio,23, $325.40 ,0.06,Terrestre,1278.45,320.98,58.95,Tamara Manning,5,Corporativo,16/01/2009,,,,
2,4291,30567,14/01/2009,No Especificado,14, $192.20 ,0.1,Terrestre,-368.02,208.16,68.02,Toby Swindell,6,PYME,14/01/2009,,,,
891,4292,30567,14/01/2009,No Especificado,8, $91.69 ,0.07,Aereo Regular,103.13,90.48,19.99,Toby Swindell,6,PYME,15/01/2009,,,,
728,4293,30567,14/01/2009,No Especificado,3, $12.90 ,0.01,Aereo Express,23,9.48,7.29,Toby Swindell,6,PYME,16/01/2009,,,,
409,4294,30567,14/01/2009,No Especificado,14, $4.47 ,0.02,Aereo Regular,7.32,4.28,0.94,Toby Swindell,6,PYME,15/01/2009,,,,
136,6849,48773,15/01/2009,Medio,7, $7.32 ,0.06,Aereo Regular,3.27,7.04,2.17,Amy Cox,1,PYME,17/01/2009,,,,
25,3103,22243,15/01/2009,Critical,9, $2.75 ,0.09,Aereo Regular,-1.82,2.88,0.7,Amy Hunt,6,Consumidor,16/01/2009,,,,
688,5297,37729,15/01/2009,No Especificado,48, $9.33 ,0,Aereo Regular,-26.7835,8.6,6.19,Giulietta Weimer,3,Corporativo,15/01/2009,,,,
1197,1769,12676,15/01/2009,Alto,25, $8.04 ,0.08,Aereo Express,-80.86,8.09,7.96,Jennifer Jackson,6,Oficina en Hogar,16/01/2009,,,,
62,950,6884,15/01/2009,Bajo,41, $5.29 ,0.01,Aereo Regular,-61.21,4.98,4.75,Skye Norling,12,Oficina en Hogar,20/01/2009,,,,
63,951,6884,15/01/2009,Bajo,47, $6.30 ,0.04,Aereo Regular,119.09,6.35,1.02,Skye Norling,12,Oficina en Hogar,20/01/2009,,,,
201,3086,22147,16/01/2009,Bajo,37, $22.49 ,0.04,Aereo Regular,175.07,22.72,8.99,Christina Anderson,6,Corporativo,20/01/2009,,,,
306,5533,39173,16/01/2009,Critical,36, $2.12 ,0.09,Aereo Regular,3.23,2.18,0.78,Jason Klamczynski,2,PYME,18/01/2009,,,,
